,train_acc,test_acc,train_auc,test_auc,runtime(s)
LR,0.613 ,0.631 ,0.646 ,0.660 ,1.537323236
DT,1.000 ,0.787 ,1.000 ,0.522 ,0.263137817
RF,1.000 ,0.869 ,1.000 ,0.679 ,13.9901886
AdaBoost,0.656 ,0.662 ,0.705 ,0.674 ,83.81982088
GBM,0.870 ,0.868 ,0.926 ,0.700 ,458.0314798
SVM,0.650 ,0.651 ,0.723 ,0.703 ,575.4552553
